no	aile	gri	satir	baslik
1	F02		52	Ve yokluk iddiası için üçüncü soru: HANGİ BÖLÜM (ZORUNLU)
2	F01		72	Negatif sonuçlu tarama, POZİTİF KONTROLSÜZ rapor edilemez (ZORUNLU)
3	F02		124	Kapsam maskelemesi — desen çalışır, EVREN eksiktir (ZORUNLU)
4	F02		147	Bir TANIMIN evreni, tanımın ŞARTIYLA seçilemez (ZORUNLU)
5	F02		179	Arama terimi, ARANAN YERİN DİLİYLE seçilir (ZORUNLU)
6	F02		199	Bir VARLIĞIN yokluğunu sorarken, TANIMININ yaşadığı yüzeyde ara (ZORUNLU)
7	F02		243	ENJEKSİYON kullanım değildir — ailenin üçüncü yüzü (ZORUNLU)
8	F01		395	`@deprecated` bir NİYET BEYANIDIR, bir ölçüm değil (ZORUNLU)
9	F01		460	Bir SAYI, eşleşmeleri ÖRNEKLENMEDEN raporlanamaz (ZORUNLU)
10	F01		485	Bir SAYIM FARKI, farkın KAYNAĞI gösterilmeden yorumlanamaz (ZORUNLU)
11	F02		517	`LEFT JOIN` + `IS NULL` bir YOKLUK testi DEĞİLDİR (ZORUNLU)
12	F02		551	"Sekiz vaka" gibi bir sayı, LİSTESİYLE anılır ya da HİÇ anılmaz (ZORUNLU)
13	F04		580	Yazma ile commit arasına bir DOĞRULAMA koy (ZORUNLU)
14	F04		605	Doğrulama bir KAPIDIR — durdurmuyorsa doğrulama değildir (ZORUNLU)
15	F04		642	Bir KAPI, ölçümün BAŞARISINI hata sayamaz (ZORUNLU)
16	F12		707	Yan etkisi olan bir aracı İZOLE hedefte sına (ZORUNLU)
17	F03		727	DÖRDÜNCÜ SORU — kontrolün girdisi, kontrol ettiği şeyden mi türüyor? (ZORUNLU)
18	F04		756	DOSYA SINIRI, STATE SIFIRLAMA NOKTASIDIR (ZORUNLU — guard yazımı)
19	F03		777	Bir kusur, BAŞKA bir kusur tarafından örtülebilir (ZORUNLU)
20	F10		813	YORUM KİRLİLİĞİ iki yönde birden yanıltır (ZORUNLU)
21	F01		844	Kod yorumunda "ulaşılamaz" yazmadan önce ölç (ZORUNLU)
22	F00		915	Bir kuralı yazdığın tur, o kuralı en çok ihlal ettiğin turdur (ZORUNLU)
23	F03		1037	BİLEŞİMSEL FAIL-OPEN — her parça masum, boşluk BİLEŞİMDE (ZORUNLU)
